,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
0,Afghanistan,1.69,6.87,2.9775,2.26,,0.5975,0.3275,0.14,0.512,0.2425,1.106,1.3900000000000001,2.88,2.7439999999999998,4.4525,0.654,0.8400000000000001,0.7620000000000001,0.442,0.34,0.274,0.23,0.22600000000000003,4.22,0.67,1.1266666666666667,1.37,0.23,13.556666666666667,0.985,0.9874999999999999,2.825,0.794,6779.66,25254.2375,44.245,0.04,320.15,11.549999999999999,5.65,3.106666666666667,17.794999999999998,836.1566666666668,17.515,46.815,26.555,27.964999999999996,82.3175,46.13999999999999,151.59666666666666,94.16333333333334,486.06333333333333,239.11333333333334,191.46333333333334,11.193333333333333,0.16666666666666666
1,Albania,4.46,25.532,4.223333333333334,1.3786666666666667,1.8426666666666667,1.1986666666666668,1.1486666666666667,0.604,1.1366666666666667,0.5920000000000001,1.1960000000000002,2.0846666666666667,5.551333333333333,4.519333333333334,8.033333333333333,0.9433333333333334,1.4353333333333333,1.07,0.9013333333333333,0.6466666666666667,0.604,0.5664285714285714,0.534,5.120666666666667,0.818,1.3206666666666667,2.8713333333333333,0.47181818181818186,12.152000000000001,2.5206666666666666,2.2113333333333336,8.200714285714286,1.7519999999999998,16084.777500000002,17698.642499999998,81.17466666666668,0.18545454545454546,16.179285714285715,26.956363636363633,10.2525,5.156153846153846,93.45285714285714,2116.9045454545453,37.00714285714286,31.205000000000002,66.56142857142858,77.19142857142857,204.21363636363637,125.98545454545454,366.069,219.70099999999996,887.8489999999999,536.0411111111111,368.73499999999996,4.880833333333333,0.2
2,Algeria,1.9565625,13.98375,2.83,1.4196153846153845,1.627777777777778,0.5073333333333333,0.48909090909090913,0.1987878787878788,0.6733333333333333,0.1874193548387097,0.98,1.3072727272727274,5.219666666666667,3.9102941176470587,10.475454545454545,2.130909090909091,2.4715625,1.1548484848484848,0.6355882352941177,0.5236363636363637,0.3629411764705882,0.5016666666666667,0.2702941176470588,7.0376,1.3947999999999998,1.6281481481481481,2.10875,0.21142857142857144,9.23,0.8109677419354839,0.5439285714285714,3.6664285714285714,0.3,26784.64346153846,24293.167692307692,39.169,0.065,37.44870967741936,14.61774193548387,9.099230769230768,4.514615384615385,56.71125,1985.7441176470588,28.00258064516129,33.49777777777778,52.22483870967742,63.35225806451613,145.2810344827586,96.47962962962963,239.68964285714287,166.36777777777777,947.0557894736843,616.6336842105263,262.6710344827586,6.3726666666666665,0.08823529411764706
3,American Samoa,23.82,6.66,22.13,1.91,1.91,1.0,1.19,2.11,1.05,3.16,2.11,2.11,22.13,,,2.11,2.11,3.16,,,,,,,,,,,,,,,,,,,,81.14,,,,,,,,,,89.46,,,,,,,,0.0
4,Andorra,13.173333333333332,40.919999999999995,7.010000000000001,2.0733333333333337,2.6,1.3800000000000001,1.7133333333333332,1.37,0.9499999999999998,1.09,1.5466666666666666,2.106666666666667,12.996666666666664,9.54,8.083333333333334,2.5466666666666664,1.6666666666666667,2.013333333333333,2.9066666666666663,1.0433333333333332,1.4333333333333336,1.05,0.7600000000000001,5.763333333333333,1.05,0.9066666666666666,5.883333333333333,1.95,40.39333333333334,2.45,1.22,5.27,1.7566666666666666,18967.41,,75.01,0.37,36.99666666666666,54.26666666666667,11.943333333333333,8.43,551.46,8640.71,89.56666666666666,39.51666666666667,110.05666666666667,124.69333333333333,823.4900000000001,664.7366666666667,1724.0433333333333,1320.6933333333334,4390.6033333333335,4109.6033333333335,2842.183333333333,2.8433333333333333,0.0
5,Angola,18.92,64.25,8.254999999999999,2.2,1.75,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,2.0,0.59,31.78,1.67,1.67,8.0,0.33,22541.71,23628.3,30.78,0.1,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77,25.0,0.0
6,Anguilla,8.0,170.0,10.0,4.0,4.0,5.0,3.0,3.0,1.74,3.5,2.22,2.22,22.05,16.26,32.63,,2.04,2.45,4.89,,,,1.11,19.53,1.85,1.85,,,,25.0,,,1.72,45000.0,,225.0,0.15,77.5,45.0,,,150.0,5168.0,,,,,800.0,800.0,2000.0,1750.0,,,1500.0,,0.0
7,Antigua And Barbuda,5.55,92.51,8.33,3.89,3.52,4.44,2.22,1.11,1.85,1.97,1.3,3.95,7.4,6.29,16.65,12.24,2.04,5.55,4.63,3.7,1.85,3.45,1.36,11.1,1.96,2.22,4.44,1.02,,5.55,5.75,19.98,1.14,23681.34,20721.17,129.51,0.3,69.93,55.5,37.0,6.11,175.76,,,,,,,,,,,,,9.0,0.0
8,Argentina,6.483333333333333,27.82428571428571,5.279999999999999,1.5219047619047619,2.123809523809524,1.5961904761904764,1.1257142857142857,0.9047619047619048,0.7609523809523809,1.0842857142857143,0.8857142857142858,1.411578947368421,5.712857142857143,3.681052631578947,6.3675,1.4261904761904762,1.188095238095238,1.0780952380952382,1.3947619047619046,0.6805,0.7723809523809523,0.9926315789473684,0.8963157894736843,2.8185,1.0994736842105264,1.8068421052631578,2.0611111111111113,0.38,19.42111111111111,1.1823529411764706,0.955294117647059,6.122857142857143,0.901578947368421,24848.07588235294,23492.559444444443,50.44736842105263,0.16875,21.597,21.869374999999998,13.455714285714285,4.156842105263158,148.31052631578947,4009.5333333333333,52.1755,41.45333333333333,106.394,85.75421052631579,212.0961111111111,181.1061111111111,425.51444444444445,333.3855555555556,2172.734,1601.2726666666667,443.3729411764706,43.85666666666666,0.07407407407407407
9,Armenia,5.683333333333334,32.00333333333333,5.793333333333334,1.2440000000000002,1.812,1.802,0.8316666666666667,0.4183333333333333,1.155,0.5083333333333334,2.1683333333333334,1.865,6.488333333333333,5.64,8.995,1.2,1.7449999999999999,1.6960000000000002,1.516,0.642,0.6980000000000001,0.59,0.63,6.824000000000001,1.074,1.598,1.7719999999999998,0.25,13.075,1.2033333333333334,0.25833333333333336,2.7299999999999995,1.2116666666666667,24004.06,27714.87,98.995,0.05333333333333334,17.238,57.75666666666666,10.58,5.055000000000001,158.598,6898.92,68.825,50.202,93.34666666666668,80.71833333333332,586.7266666666667,412.0933333333333,1204.1266666666668,808.35,1518.3233333333335,754.7466666666666,376.08000000000004,12.966666666666667,0.16666666666666666
