country,unesco_props,safety_index,quality_of_life,total_population,code,GDP,pop_0_14_%,pop_0_14_%_female,pop_0_14_%_male,pop_15_64_%,pop_15_64_%_female,pop_15_64_%_male,pop_65_plus_%,pop_65_plus_%_female,pop_65_plus_%_male,continent,female_population,male_population,average_cost_rich,average_cost_medium,average_cost_lower,cost_average,meals,market,transports,telecommunications,accomodation
Afghanistan,2.0,23.0,38.1,40099462.0,AFG,21.71,43.4245427,42.83646971,44.00070334,54.17139886,54.39551553,53.95182203,2.404058438,2.768014758,2.047474637,Asia,19844584.0,20254878.0,424.636,376.7585,50.286,283.8935,5.401666666666666,1.6215,2.0090000000000003,160.095,2.110219469724348
Albania,4.0,53.9,68.2,2811666.0,ALB,13.4,16.28172389,15.94570098,16.61840661,67.48403516,67.36630843,67.60199305,16.23424096,16.68799059,15.77960034,Europe,1407212.0,1404454.0,291.9581948051948,159.75819480519482,137.898,196.53812987012984,14.299555555555555,2.3360000000000003,4.7444848484848485,8.18237012987013,5.424304151346896
Algeria,7.0,46.2,60.6,44177969.0,DZA,227.8,30.71207654,30.61776833,30.80296191,63.10592349,62.82585713,63.37582506,6.181999971,6.556374534,5.821213034,Africa,21680725.0,22497244.0,223.22343935309385,143.94701071407334,101.51183662606458,156.22742889774392,7.852291666666667,2.702861029411765,1.3223963133640553,18.75685483870968,3.971492987357299
American Samoa,,,,45035.0,ASM,0.75,27.51193516,26.43102084,28.61501189,65.64338848,65.91048976,65.37081071,6.844676363,7.658489405,6.014177397,Oceania,22746.0,22289.0,,,,,32.85333333333333,,,81.14,2.939185859315964
Andorra,1.0,,79.0,79034.0,AND,4.8,13.07475264,13.06320866,13.0858141,72.389731,71.57097237,73.17426692,14.53551636,15.36581897,13.73991898,Europe,38673.0,40361.0,974.8800000000002,733.0166666666668,696.9133333333334,801.6033333333335,27.095555555555553,3.3641666666666663,6.156666666666667,18.68333333333333,24.44765690880617
Angola,1.0,33.6,36.4,34503774.0,AGO,131.4,45.17910483,44.43520497,45.9404899,52.22642532,52.64816508,51.79477267,2.594469848,2.916629959,2.264737436,Africa,17452283.0,17051491.0,563.2199999999999,299.79,121.59,328.2,39.53333333333333,3.32,2.59,96.16499999999999,4.948582317574005
Anguilla,,,,,AIA,0.18,,,,,,,,,,North America,,,1277.14,,821.61,1049.375,68.66666666666667,7.496666666666667,40.08,38.825,26.283799323192166
Antigua And Barbuda,1.0,,64.0,93219.0,ATG,1.24,18.82116939,17.74536272,19.99842736,70.98622069,70.8449244,71.14084159,10.19260992,11.40971288,8.860731055,North America,48709.0,44511.0,,,,,40.089999999999996,4.715,7.709999999999999,35.115,
Argentina,11.0,35.9,74.9,45808747.0,ARG,536.2,23.35673716,22.50032614,24.23023048,64.82135545,63.67640319,65.98914536,11.82190739,13.82327067,9.780624156,South America,23130548.0,22678199.0,305.9600417465232,222.72002213868,197.56135547201333,242.0804731190722,17.116984126984125,1.7188501461988306,2.4639318885448915,10.882875,6.459280188951312
Armenia,3.0,77.9,65.7,2790974.0,ARM,10.88,20.42255149,17.64427573,23.81546814,66.83203907,67.1013213,66.50318325,12.74540944,15.25440297,9.681348605,Asia,1534475.0,1256498.0,681.6306666666667,446.444,425.0416666666667,517.7054444444444,18.31888888888889,2.575,2.665,8.645666666666667,16.407990274994248
