Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,"Population, total",SP.POP.TOTL,106537
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,702976832
Afghanistan,AFG,"Population, total",SP.POP.TOTL,40099462
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,478185907
Angola,AGO,"Population, total",SP.POP.TOTL,34503774
Albania,ALB,"Population, total",SP.POP.TOTL,2811666
Andorra,AND,"Population, total",SP.POP.TOTL,79034
Arab World,ARB,"Population, total",SP.POP.TOTL,456520777
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9365145
Argentina,ARG,"Population, total",SP.POP.TOTL,45808747
Armenia,ARM,"Population, total",SP.POP.TOTL,2790974
American Samoa,ASM,"Population, total",SP.POP.TOTL,45035
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93219
Australia,AUS,"Population, total",SP.POP.TOTL,25688079
Austria,AUT,"Population, total",SP.POP.TOTL,8955797
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10137750
Burundi,BDI,"Population, total",SP.POP.TOTL,12551213
Belgium,BEL,"Population, total",SP.POP.TOTL,11592952
Benin,BEN,"Population, total",SP.POP.TOTL,12996895
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,22100683
Bangladesh,BGD,"Population, total",SP.POP.TOTL,169356251
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6877743
Bahrain,BHR,"Population, total",SP.POP.TOTL,1463265
Bahamas,BHS,"Population, total",SP.POP.TOTL,407906
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3270943
Belarus,BLR,"Population, total",SP.POP.TOTL,9340314
Belize,BLZ,"Population, total",SP.POP.TOTL,400031
Bermuda,BMU,"Population, total",SP.POP.TOTL,63867
Bolivia,BOL,"Population, total",SP.POP.TOTL,12079472
Brazil,BRA,"Population, total",SP.POP.TOTL,214326223
Barbados,BRB,"Population, total",SP.POP.TOTL,281200
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,445373
Bhutan,BTN,"Population, total",SP.POP.TOTL,777486
Botswana,BWA,"Population, total",SP.POP.TOTL,2588423
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5457154
Canada,CAN,"Population, total",SP.POP.TOTL,38246108
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,101430997
Switzerland,CHE,"Population, total",SP.POP.TOTL,8703405
Channel Islands,CHI,"Population, total",SP.POP.TOTL,172683
Chile,CHL,"Population, total",SP.POP.TOTL,19493184
China,CHN,"Population, total",SP.POP.TOTL,1412360000
Ivory Coast,CIV,"Population, total",SP.POP.TOTL,27478249
Cameroon,CMR,"Population, total",SP.POP.TOTL,27198628
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95894118
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5835806
Colombia,COL,"Population, total",SP.POP.TOTL,51516562
Comoros,COM,"Population, total",SP.POP.TOTL,821625
Cape Verde,CPV,"Population, total",SP.POP.TOTL,587925
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5153957
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7481877
Cuba,CUB,"Population, total",SP.POP.TOTL,11256372
Curacao,CUW,"Population, total",SP.POP.TOTL,152369
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68136
Cyprus,CYP,"Population, total",SP.POP.TOTL,1244188
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10505772
Germany,DEU,"Population, total",SP.POP.TOTL,83196078
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105557
Dominica,DMA,"Population, total",SP.POP.TOTL,72412
Denmark,DNK,"Population, total",SP.POP.TOTL,5856733
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11117873
Algeria,DZA,"Population, total",SP.POP.TOTL,44177969
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2123673456
