Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.79940678
Africa Eastern and Southern,AFE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.36273878
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.4245427
Africa Western and Central,AFW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.09502699
Angola,AGO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,45.17910483
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.28172389
Andorra,AND,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,13.07475264
Arab World,ARB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,33.2089618
United Arab Emirates,ARE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.14303383
Argentina,ARG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.35673716
Armenia,ARM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.42255149
American Samoa,ASM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,27.51193516
Antigua and Barbuda,ATG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.82116939
Australia,AUS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.37332915
Austria,AUT,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.38549321
Azerbaijan,AZE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.92495311
Burundi,BDI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,46.29346184
Belgium,BEL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.68811036
Benin,BEN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.57800421
Burkina Faso,BFA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.0909599
Bangladesh,BGD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,26.45298372
Bulgaria,BGR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,13.99472906
Bahrain,BHR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.37719744
"Bahamas, The",BHS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,19.62255964
Bosnia and Herzegovina,BIH,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.91930615
Belarus,BLR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.84033506
Belize,BLZ,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,28.23568673
Bermuda,BMU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.89834073
Bolivia,BOL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,31.1219853
Brazil,BRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.54066758
Barbados,BRB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.16219268
Brunei Darussalam,BRN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.34643771
Bhutan,BTN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.80271104
Botswana,BWA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,32.91477089
Central African Republic,CAF,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,48.18350846
Canada,CAN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.73336814
Central Europe and the Baltics,CEB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.37799122
Switzerland,CHE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.06570887
Channel Islands,CHI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.25941969
Chile,CHL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.45695351
China,CHN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.66807221
Cote d'Ivoire,CIV,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.79793079
Cameroon,CMR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.43051341
"Congo, Dem. Rep.",COD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,46.5250082
"Congo, Rep.",COG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.40120491
Colombia,COL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,21.59597432
Comoros,COM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,38.26335721
Cabo Verde,CPV,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,26.61351363
Costa Rica,CRI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.54845432
Caribbean small states,CSS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,21.7899938
Cuba,CUB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.79940607
Curacao,CUW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.40246299
Cayman Islands,CYM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.78481273
Cyprus,CYP,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.98170855
Czechia,CZE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.00294384
Germany,DEU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,13.87328442
Djibouti,DJI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.77067452
Dominica,DMA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,19.86259278
Denmark,DNK,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.16515413
Dominican Republic,DOM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,27.35962052
Algeria,DZA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.71207654
East Asia & Pacific (excluding high income),EAP,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.08478456
Early-demographic dividend,EAR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,28.14745017
East Asia & Pacific,EAS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,19.32736773
Europe & Central Asia (excluding high income),ECA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,21.29803403
Europe & Central Asia,ECS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.93602117
Ecuador,ECU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,26.09764376
"Egypt, Arab Rep.",EGY,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,33.05096954
Euro area,EMU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.7623578
Eritrea,ERI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,39.78187515
Spain,ESP,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.10691172
Estonia,EST,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.46935616
Ethiopia,ETH,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,39.96100248
European Union,EUU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.9621226
Fragile and conflict affected situations,FCS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,39.82509109
Finland,FIN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,15.42864404
Fiji,FJI,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,28.91269233
France,FRA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.37337537
Faroe Islands,FRO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.66800911
"Micronesia, Fed. Sts.",FSM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.69627246
Gabon,GAB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,36.42320814
