Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.54349918
Africa Eastern and Southern,AFE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.165335309
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.404058438
Africa Western and Central,AFW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.883146349
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.594469848
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.23424096
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.53551636
Arab World,ARB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.453652479
United Arab Emirates,ARE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,1.758413872
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.82190739
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.74540944
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.844676363
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.19260992
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.56915533
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.44115734
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.716586224
Burundi,BDI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.476182979
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.41707041
Benin,BEN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.076384783
Burkina Faso,BFA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.547206289
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.827112044
Bulgaria,BGR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,22.42111107
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.488703861
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.567793276
Bosnia and Herzegovina,BIH,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.14322353
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.82916905
Belize,BLZ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.95586592
Bermuda,BMU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.68138973
Bolivia,BOL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.910156669
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,9.581064889
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.71553292
