Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,14.03788316
Africa Eastern and Southern,AFE,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.6969562
Afghanistan,AFG,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.047474637
Africa Western and Central,AFW,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.655474131
Angola,AGO,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.264737436
Albania,ALB,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,15.77960034
Andorra,AND,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,13.73991898
Arab World,ARB,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.899223828
United Arab Emirates,ARE,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1.345784737
Argentina,ARG,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,9.780624156
Armenia,ARM,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,9.681348605
American Samoa,ASM,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,6.014177397
Antigua and Barbuda,ATG,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,8.860731055
Australia,AUS,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,15.66466737
Austria,AUT,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,17.23042497
Azerbaijan,AZE,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,5.504626635
Burundi,BDI,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.145283872
Belgium,BEL,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,17.44571126
Benin,BEN,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.732225747
Burkina Faso,BFA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.062912
Bangladesh,BGD,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,5.600413752
