Country Name,Country Code,2021
Aruba,ABW,56330
Africa Eastern and Southern,AFE,354855082
Afghanistan,AFG,19844584
Africa Western and Central,AFW,237813580
Angola,AGO,17452283
Albania,ALB,1407212
Andorra,AND,38673
Arab World,ARB,220449451
United Arab Emirates,ARE,2853108
Argentina,ARG,23130548
Armenia,ARM,1534475
American Samoa,ASM,22746
Antigua and Barbuda,ATG,48709
Australia,AUS,12936002
Austria,AUT,4548093
Azerbaijan,AZE,5135000
Burundi,BDI,6319427
Belgium,BEL,5867228
Benin,BEN,6487184
Burkina Faso,BFA,11089986
Bangladesh,BGD,85358163
Bulgaria,BGR,3542329
Bahrain,BHR,554616
"Bahamas, The",BHS,212878
Bosnia and Herzegovina,BIH,1660775
Belarus,BLR,5034947
Belize,BLZ,198800
Bermuda,BMU,33057
Bolivia,BOL,6020925
Brazil,BRA,109034931
Barbados,BRB,146366
Brunei Darussalam,BRN,214922
Bhutan,BTN,365818
Botswana,BWA,1310688
Central African Republic,CAF,2728875
Canada,CAN,19240835
Central Europe and the Baltics,CEB,52333838
Switzerland,CHE,4383460
Channel Islands,CHI,87239
Chile,CHL,9818163
China,CHN,691219627
Cote d'Ivoire,CIV,13600535
Cameroon,CMR,13634397
"Congo, Dem. Rep.",COD,48319268
"Congo, Rep.",COG,2921372
Colombia,COL,26101321
Comoros,COM,408923
Cabo Verde,CPV,295580
Costa Rica,CRI,2575216
Caribbean small states,CSS,3787953
Cuba,CUB,5667114
Curacao,CUW,79361
Cayman Islands,CYM,33738
Cyprus,CYP,621034
Czechia,CZE,5331795
Germany,DEU,42146923
Djibouti,DJI,556667
Dominica,DMA,36373
Denmark,DNK,2943337
Dominican Republic,DOM,5535650
Algeria,DZA,21680725
East Asia & Pacific (excluding high income),EAP,1046383383
Early-demographic dividend,EAR,1679978309
East Asia & Pacific,EAS,1171825747
Europe & Central Asia (excluding high income),ECA,208856332
Europe & Central Asia,ECS,475388568
Ecuador,ECU,8910903
"Egypt, Arab Rep.",EGY,54001891
Euro area,EMU,175307502
Eritrea,ERI,1834472
Spain,ESP,24178913
Estonia,EST,699703
Ethiopia,ETH,59839622
European Union,EUU,228719920
Fragile and conflict affected situations,FCS,501678333
Finland,FIN,2803508
