Country Name,Country Code,2021
Aruba,ABW,50207
Africa Eastern and Southern,AFE,348121749
Afghanistan,AFG,20254878
Africa Western and Central,AFW,240372329
Angola,AGO,17051491
Albania,ALB,1404454
Andorra,AND,40361
Arab World,ARB,236071329
United Arab Emirates,ARE,6512037
Argentina,ARG,22678199
Armenia,ARM,1256498
American Samoa,ASM,22289
Antigua and Barbuda,ATG,44511
Australia,AUS,12752077
Austria,AUT,4407703
Azerbaijan,AZE,5002750
Burundi,BDI,6231786
Belgium,BEL,5725724
Benin,BEN,6509711
Burkina Faso,BFA,11010698
Bangladesh,BGD,83998088
Bulgaria,BGR,3335414
Bahrain,BHR,908649
"Bahamas, The",BHS,195028
Bosnia and Herzegovina,BIH,1610168
Belarus,BLR,4305368
Belize,BLZ,201231
Bermuda,BMU,30809
Bolivia,BOL,6058547
Brazil,BRA,105291292
Barbados,BRB,134833
Brunei Darussalam,BRN,230451
Bhutan,BTN,411668
Botswana,BWA,1277735
Central African Republic,CAF,2728280
Canada,CAN,19005273
Central Europe and the Baltics,CEB,49097155
Switzerland,CHE,4319945
Channel Islands,CHI,85444
Chile,CHL,9675022
China,CHN,721140373
Cote d'Ivoire,CIV,13877714
Cameroon,CMR,13564231
"Congo, Dem. Rep.",COD,47574851
"Congo, Rep.",COG,2914434
Colombia,COL,25415242
Comoros,COM,412703
Cabo Verde,CPV,292344
Costa Rica,CRI,2578741
Caribbean small states,CSS,3693924
Cuba,CUB,5589258
Curacao,CUW,73008
Cayman Islands,CYM,34398
Cyprus,CYP,623154
Czechia,CZE,5173976
Germany,DEU,41049155
Djibouti,DJI,548890
Dominica,DMA,36039
Denmark,DNK,2913397
Dominican Republic,DOM,5582224
Algeria,DZA,22497244
East Asia & Pacific (excluding high income),EAP,1077290074
Early-demographic dividend,EAR,1731910754
East Asia & Pacific,EAS,1198378605
Europe & Central Asia (excluding high income),ECA,192718884
Europe & Central Asia,ECS,448388641
Ecuador,ECU,8886835
"Egypt, Arab Rep.",EGY,55260287
Euro area,EMU,167760341
Eritrea,ERI,1785840
Spain,ESP,23236837
Estonia,EST,631228
Ethiopia,ETH,60443404
European Union,EUU,218479877
Fragile and conflict affected situations,FCS,499784123
Finland,FIN,2737509
Fiji,FJI,463683
France,FRA,32750940
Faroe Islands,FRO,27380
"Micronesia, Fed. Sts.",FSM,56898
Gabon,GAB,1192411
United Kingdom,GBR,33261078
Georgia,GEO,1743681
Ghana,GHA,16375536
Gibraltar,GIB,16317
Guinea,GIN,6685900
"Gambia, The",GMB,1313119
Guinea-Bissau,GNB,1017216
Equatorial Guinea,GNQ,863375
Greece,GRC,5212831
Grenada,GRD,62356
Greenland,GRL,29809
Guatemala,GTM,8470073
Guam,GUM,85879
Guyana,GUY,393635
High income,HIC,617176895
"Hong Kong SAR, China",HKG,3419023
Honduras,HND,5190703
Heavily indebted poor countries (HIPC),HPC,429282159
Croatia,HRV,1898394
Haiti,HTI,5672850
Hungary,HUN,4654334
IBRD only,IBD,2483784632
IDA & IBRD total,IBT,3371829977
IDA total,IDA,888045345
IDA blend,IDB,299221448
Indonesia,IDN,137852478
IDA only,IDX,588823897
Isle of Man,IMN,41736
India,IND,726503429
Not classified,INX,
Ireland,IRL,2494030
"Iran, Islamic Rep.",IRN,44426789
Iraq,IRQ,21797409
Iceland,ISL,190942
Israel,ISR,4668451
Italy,ITA,28809574
Jamaica,JAM,1402951
Jordan,JOR,5780154
Japan,JPN,61087180
Kazakhstan,KAZ,9136399
Kenya,KEN,26279184
Kyrgyz Republic,KGZ,3286019
Cambodia,KHM,8212068
Kiribati,KIR,62724
St. Kitts and Nevis,KNA,23015
"Korea, Rep.",KOR,25842376
Kuwait,KWT,2590695
Latin America & Caribbean (excluding high income),LAC,292256546
Lao PDR,LAO,3742575
Lebanon,LBN,2713490
Liberia,LBR,2585173
Libya,LBY,3409508
St. Lucia,LCA,88940
Latin America & Caribbean,LCN,322699072
Least developed countries: UN classification,LDC,546868619
Low income,LIC,358364398
Liechtenstein,LIE,19354
Sri Lanka,LKA,10674405
Lower middle income,LMC,1721855010
Low & middle income,LMY,3334998712
Lesotho,LSO,1125698
Late-demographic dividend,LTE,1167837039
Lithuania,LTU,1314395
Luxembourg,LUX,322141
Latvia,LVA,872894
"Macao SAR, China",MAC,322286
St. Martin (French part),MAF,15188
Morocco,MAR,18665663
Monaco,MCO,17982
Moldova,MDA,1241384
Madagascar,MDG,14490935
Maldives,MDV,300736
Middle East & North Africa,MEA,251392634
Mexico,MEX,61856137
Marshall Islands,MHL,21483
Middle income,MIC,2976634314
North Macedonia,MKD,1029632
Mali,MLI,11060744
Malta,MLT,269705
Myanmar,MMR,26782671
Middle East & North Africa (excluding high income),MNA,210961408
Montenegro,MNE,301673
Mongolia,MNG,1661462
Northern Mariana Islands,MNP,26597
Mozambique,MOZ,15737224
Mauritania,MRT,2260590
Mauritius,MUS,624734
Malawi,MWI,9670800
Malaysia,MYS,17166530
North America,NAC,183449367
Namibia,NAM,1221166
New Caledonia,NCL,134914
Niger,NER,12809135
Nigeria,NGA,107827012
Nicaragua,NIC,3375630
Netherlands,NLD,8712076
Norway,NOR,2728232
Nepal,NPL,14370965
Nauru,NRU,6361
New Zealand,NZL,2538828
OECD members,OED,675931762
Oman,OMN,2761768
Other small states,OSS,17156724
Pakistan,PAK,116815852
Panama,PAN,2176523
Peru,PER,16695110
Philippines,PHL,57817463
Palau,PLW,9380
Papua New Guinea,PNG,5137884
Poland,POL,18253255
Pre-demographic dividend,PRE,504890963
Puerto Rico,PRI,1541554
"Korea, Dem. People's Rep.",PRK,12844385
Portugal,PRT,4871266
Paraguay,PRY,3365265
West Bank and Gaza,PSE,2455361
Pacific island small states,PSS,1312463
Post-demographic dividend,PST,548196087
French Polynesia,PYF,153778
Qatar,QAT,1953675
Romania,ROU,9244086
Russian Federation,RUS,66624709
Rwanda,RWA,6582239
South Asia,SAS,973330021
Saudi Arabia,SAU,20766246
Sudan,SDN,22814719
Senegal,SEN,8297057
Singapore,SGP,2852509
Solomon Islands,SLB,361683
